Released Date,Movie,Worldwide,India Telugu Net,India Gross,Overseas,Budget,Verdict,Genres,Industry,Original Languages,Dubbed Languages,Status,Region,India Malayalam Net,India Hindi Net,India Gujarati Net,India Marathi Net,India Bengali Net
19 Oct,Bhagavanth Kesari,114.5,84.78,99.7,14.8,1,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Oct,Leo,605.9,41.31,401.9,204,250,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Oct,Maama Mascheendra,-,0.32,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Oct,Rules Ranjann,2.1,1.79,2.1,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Oct,The Exorcist: Believer,930,0.03,6,924,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Oct,Mad (2023),26,19.33,22.5,3.5,1,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Sep,Peddha Kapu: Part 1,1.5,1.29,1.5,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Sep,Chithha,11.6,4.3,11.6,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Sep,Chandramukhi 2,54.1,8.8,46.1,8,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Sep,Skanda,53,41.09,48.75,4.25,1,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Sep,Expend4bles,295,0.05,5.2,289.8,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Sep,Mark Antony,104.3,8.01,85.3,19,1,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Sep,The Nun 2,2150,1.53,54.6,1440,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Sep,Miss Shetty Mr Polishetty,51,28.17,33.8,17.2,1,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Sep,Jawan,1160,27.86,760,400,300,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Sep,Sapta Sagaradaache Ello (Side A),26.25,1.82,26.25,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Sep,Kushi,76,43.88,57,19,1,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Aug,Bedurulanka 2012,16,11.97,14,2,1,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Aug,Gandeevadhari Arjuna,3,3.6,2.5,0.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Aug,King Of Kotha,31.35,2.56,18.35,13,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Aug,Blue Beetle,500,0.35,8.2,225,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Aug,Bholaa Shankar,42.25,30.63,36,6.25,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Aug,Jailer,604.5,68.06,408.5,196,200,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Aug,Meg 2: The Trench,2680,0.94,23.1,2080,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Jul,Bro,114,82.68,97.2,16.8,1,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Jul,Hidimbha,2.9,5.52,2.75,0.15,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Jul,Baby (2023),81.05,64.12,75.05,6,1,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Jul,Maaveeran,78.4,3.8,62.9,15.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Jul,Mission Impossible – Dead Reckoning Part One,4725,1.67,131.25,3290,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Jul,Rudrangi,-,0.68,-,-,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Jul,Rangabali,7.05,5.42,6.35,0.7,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Jun,Spy,21,14.3,17.5,3.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Jun,Maamannan,73.8,1.73,61,12.8,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Jun,Samajavaragamana,32,19.32,22.65,9.35,1,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
23 Jun,1920: Horrors of the Heart,17.35,1.15,16.85,0.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Jun,Adipurush,393,133.28,343,50,500,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Jun,The Flash,2220,1.21,35.5,1330,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Jun,Takkar,-,2.08,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Jun,Transformers: Rise of the Beast,2400,1.65,33.2,1450,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Jun,Nenu Student Sir!,-,0.59,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Jun,Ahimsa,-,1.64,-,-,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Jun,Spider-Man: Across the Spider-Verse,5650,0.55,53.8,2510,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 May,Malli Pelli,-,0.1,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 May,Mem Famous,7.6,5.49,6.4,1.2,1,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 May,Simhadri 4K,5.2,3.59,4.2,1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 May,Pichaikkaran 2,41.45,15.91,40.25,1.2,1,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 May,Anni Manchi Sakunamule,-,6.93,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 May,Fast X,5800,1.93,131.7,4600,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 May,Custody,13.2,8.49,10.8,2.4,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 May,The Kerala Story,302,2.69,286.5,15.5,15,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 May,Ugram,5.6,5.68,5.5,0.1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 May,Ramabanam,8.3,6.82,8,0.3,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 May,Guardians of the Galaxy Vol. 3,6550,0.67,72.1,3800,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 May,2018,180.03,9.07,110.53,69.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Apr,Agent,13.4,9.85,11.75,1.65,40,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Apr,Ponniyin Selvan - Part 2,344.63,13.09,214.63,130,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Apr,Virupaksha,89.8,63.54,75.8,14,25,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Apr,Rudhran,15.6,4.2,13.6,2,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Apr,Shaakuntalam,11,5.7,8.6,2.4,60,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Apr,Meter,-,1.83,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Apr,Ravanasura,23.1,17.12,20.1,3,35,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Mar,Viduthalai Part - 1,53,1.1,43.75,9.25,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Mar,Dasara,118.5,75.81,96.5,22,65,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Mar,John Wick: Chapter 4,3050,1.2,61,1635,900,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Mar,Das Ka Dhamki,22.8,17.72,20.1,2.7,10,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Mar,Phalana Abbayi Phalana Ammayi,-,2.53,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Mar,Shazam! Fury Of The Gods,1100,1.14,19.8,620,900,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Mar,Kabzaa,34.5,2.45,32.65,1.85,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Mar,Organic Mama Hybrid Alludu,-,0.54,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Mar,Balagam,26.55,23.32,26.3,0.25,3,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Feb,Konaseema Thugs,-,0.4,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Feb,Vinaro Bhagyamu Vishnu Katha,9.15,7.3,8.55,0.6,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Feb,Vaathi/SIR,116.2,37.12,91.2,25,35,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Feb,Amigos,11.75,8.75,10.25,1.5,15,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Feb,Michael,10.3,7.53,8.7,1.6,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Feb,Writer Padmabhushan,12.5,7.69,9,3.5,2.5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Jan,Hunt,-,2.38,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Jan,Pathaan,1055,12.76,657.5,397.5,250,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Jan,Waltair Veerayya,219,159.68,190,29,140,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Jan,Veera Simha Reddy,130,97.64,115,15,100,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Jan,Thunivu,200,3.52,144.1,55.9,200,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Jan,Varisu,297.55,20.98,208.55,89,200,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Jan,Okkadu (Rerelease),3.5,3,3.5,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Roti Kapda Romance,0,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Kesava Chandra Ramavat (KCR),0.2,0.19,0.2,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Kanakamahalakshmi,0.03,0.03,0.03,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Mandira,0.08,0.07,0.08,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Zebra,-,2.34,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Devaki Nandana Vasudeva,-,1.39,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Mechanic Rocky,6.5,5.8,6,0.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Kalama E Kannillenduke,0,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Nov,Cinema Pichodu (Film Makers),0.04,0.03,0.04,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Nov,Gladiator II,736.71,0.31,8.71,735,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Nov,Matka,0.07,3.95,0.07,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Nov,Kanguva,103.25,15.73,80.25,23,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Jewel Thief (Beware of Burglar),0.02,0.02,0.02,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Dhoom Dhaam,0.41,0.38,0.41,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Jithender Reddy,0.59,0.5,0.59,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Appudo Ippudo Eppudo,0.14,1.86,0.14,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,EeSaraina!?,0,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,The Shortcut,0.01,0.01,0.01,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Adiparvam,0.06,0.06,0.06,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Vanchana,0.03,0.03,0.03,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Rahasyam Idham Jagath,0.09,0.09,0.09,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Nov,Jathara,0.07,0.07,0.07,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Oct,Bloody Beggar,9.21,0.29,9.21,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Oct,Lucky Baskhar,110.5,39.09,83.4,27.1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Oct,KA (2024),37.7,26.73,30.95,6.75,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Oct,Bagheera,24.91,1.86,24.91,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Oct,Amaran,320.5,44.93,241.65,78.85,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Yentha Panichesav Chanti,0.08,0.07,0.08,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,C202,0.14,0.09,0.14,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Gangster,0.09,0.09,0.09,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Narudi Brathuku Natana,0.49,0.45,0.49,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Samudrudu,0.18,0.17,0.18,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Laggam,0.86,0.76,0.86,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
25 Oct,Pottel,0.06,2.09,0.06,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Oct,Venom: The Last Dance,3426.83,3.39,64.58,2365,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,The Deal,0.04,0.04,0.04,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,Iddaru,0.23,0.21,0.23,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,Rewind,0.12,0.11,0.12,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,1980 Lo Radhekrishna,0.26,0.26,0.26,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,Veekshanam,0.11,0.1,0.11,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,Kallu Compound 1995,0.07,0.07,0.07,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
18 Oct,Love Reddy,0.81,0.68,0.81,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Oct,Janaka Aithe Ganaka,2.22,2,2.22,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Oct,Maa Nanna Super Hero,1.14,1.04,1.14,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Oct,Viswam,15.58,14.61,15.03,0.55,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Oct,Martin,25.69,2.25,25.69,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Oct,Jigra,56.93,0.21,38.43,18.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Oct,Vettaiyan,253.69,17.92,171.69,82,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,Dhakshina,0.46,0.42,0.46,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,Kali,0.22,0.18,0.22,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,Ramnagar Bunny,0.48,0.43,0.48,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,SWAG,7.6,6.86,6.7,0.9,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,Bahirbhoomi,0.03,0.03,0.03,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Oct,Mr. Celebrity,0.14,0.12,0.14,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Oct,Chitti Potti,0.09,0.09,0.09,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Sep,Meiyazhagan,51.43,7.54,39.18,12.25,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Sep,Devara - Part 1,422,220.88,345.5,76.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Sep,Manyam Dheerudu (Seetharama Raju),0.52,0.46,0.52,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Sep,Gorre Puranam,0.49,0.43,0.49,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Sep,Pailam Pilaga,0.04,0.04,0.04,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Sep,100 Crores,0.03,0.03,0.03,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Sep,Hide N Seek,0.31,0.29,0.31,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Sep,#Lifestories,0.03,0.03,0.03,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Sep,Kalinga,1.65,1.46,1.65,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Sep,Mathu Vadalara 2,32.52,19.95,23.02,9.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Sep,Bhale Unnade,0.56,0.5,0.56,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Sep,Utsavam,0.76,0.65,0.76,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
